"date","product_id","product_name","category","product_type","sales_forecast","demand","actual_sales","lost_sales","promo_flag","discount","base_price","selling_price","opening_stock","inbound_qty","consumption","wastage","closing_stock","stockout_flag","pr_flag","pr_qty","po_flag","supplier_id","planned_lead_time","actual_lead_time","received_qty","delay_flag","shelf_life_days"
"1/14/2023","SKU_001","Chicken Breast","Frozen","Perishable","339","374","374","0","0","0","349.538024108272","349.538024108272","987","0","374","23","590","0","0","0","0","SUP_3","0","0","0","0","10"
"1/15/2023","SKU_001","Chicken Breast","Frozen","Perishable","777","782","590","192","0","0","358.487206578054","358.487206578054","590","1166","590","11","1155","1","1","1173","1","SUP_1","5","5","1166","0","10"
"1/16/2023","SKU_001","Chicken Breast","Frozen","Perishable","582","648","648","0","1","0.1370217324883499","359.260854567958","310.034309859811","1155","0","648","57","450","0","0","0","0","SUP_3","0","0","0","0","10"
"1/17/2023","SKU_001","Chicken Breast","Frozen","Perishable","308","379","379","0","0","0","289.014249605337","289.014249605337","450","744","379","16","799","0","1","852","1","SUP_2","5","5","744","0","10"
"1/18/2023","SKU_001","Chicken Breast","Frozen","Perishable","878","805","799","6","0","0","293.556626543851","293.556626543851","799","1096","799","28","1068","1","1","1310","1","SUP_1","2","2","1096","0","10"
"1/19/2023","SKU_001","Chicken Breast","Frozen","Perishable","538","606","606","0","1","0.1871664968229323","362.229906487604","294.43260384582","1068","0","606","14","448","0","0","0","0","SUP_1","0","0","0","0","10"
"1/20/2023","SKU_001","Chicken Breast","Frozen","Perishable","1321","1125","448","677","0","0","247.504188829199","247.504188829199","448","885","448","6","879","1","1","950","1","SUP_3","3","3","885","0","10"
"1/21/2023","SKU_001","Chicken Breast","Frozen","Perishable","671","743","743","0","1","0.2395733634017743","419.250739951585","318.809430072701","879","0","743","39","97","0","0","0","0","SUP_3","0","0","0","0","10"
"1/22/2023","SKU_001","Chicken Breast","Frozen","Perishable","281","309","97","212","1","0.3140810729695231","360.071565994554","246.979902201168","97","1442","97","2","1440","1","1","1472","1","SUP_3","2","2","1442","0","10"
"1/23/2023","SKU_001","Chicken Breast","Frozen","Perishable","628","584","584","0","0","0","350.39225190052","350.39225190052","1440","0","584","55","801","0","0","0","0","SUP_1","0","0","0","0","10"
"1/24/2023","SKU_001","Chicken Breast","Frozen","Perishable","477","513","513","0","0","0","369.298281023605","369.298281023605","801","0","513","35","253","0","0","0","0","SUP_1","0","0","0","0","10"
"1/25/2023","SKU_001","Chicken Breast","Frozen","Perishable","350","332","253","79","0","0","270.092363721117","270.092363721117","253","1184","253","12","1172","1","1","1362","1","SUP_2","4","4","1184","0","10"
"1/26/2023","SKU_001","Chicken Breast","Frozen","Perishable","1124","1053","1053","0","0","0","392.833513014381","392.833513014381","1172","0","1053","35","84","0","0","0","0","SUP_3","0","0","0","0","10"
"1/27/2023","SKU_001","Chicken Breast","Frozen","Perishable","415","353","84","269","1","0.1925396750638611","410.785715400518","331.693167236426","84","986","84","0","986","1","1","1079","1","SUP_1","2","2","986","0","10"
"1/28/2023","SKU_001","Chicken Breast","Frozen","Perishable","439","479","479","0","1","0.1792305012890694","297.019545720385","243.784583648269","986","0","479","16","491","0","0","0","0","SUP_1","0","0","0","0","10"
"1/29/2023","SKU_001","Chicken Breast","Frozen","Perishable","1009","1203","491","712","1","0.135021003809131","343.001445339834","296.689045882067","491","1114","491","15","1099","1","1","1185","1","SUP_2","2","3","1114","1","10"
"1/30/2023","SKU_001","Chicken Breast","Frozen","Perishable","681","667","667","0","0","0","279.30202872956","279.30202872956","1099","0","667","22","410","0","0","0","0","SUP_1","0","0","0","0","10"
"1/31/2023","SKU_001","Chicken Breast","Frozen","Perishable","865","750","410","340","0","0","225.523354374741","225.523354374741","410","728","410","11","717","1","1","850","1","SUP_1","3","3","728","0","10"
"2/1/2023","SKU_001","Chicken Breast","Frozen","Perishable","584","511","511","0","0","0","270.050272103173","270.050272103173","717","1048","511","15","1239","0","1","1243","1","SUP_1","2","4","1048","1","10"
"2/2/2023","SKU_001","Chicken Breast","Frozen","Perishable","239","273","273","0","1","0.1345882731044503","302.270781011336","261.588678585087","1239","0","273","18","948","0","0","0","0","SUP_2","0","0","0","0","10"
"2/3/2023","SKU_001","Chicken Breast","Frozen","Perishable","280","302","302","0","0","0","379.037238953741","379.037238953741","948","0","302","26","620","0","0","0","0","SUP_3","0","0","0","0","10"
"2/4/2023","SKU_001","Chicken Breast","Frozen","Perishable","669","695","620","75","0","0","254.658864014169","254.658864014169","620","1230","620","12","1218","1","1","1437","1","SUP_2","2","2","1230","0","10"
"2/5/2023","SKU_001","Chicken Breast","Frozen","Perishable","652","648","648","0","0","0","351.422265700033","351.422265700033","1218","0","648","47","523","0","0","0","0","SUP_3","0","0","0","0","10"
"2/6/2023","SKU_001","Chicken Breast","Frozen","Perishable","168","199","199","0","0","0","288.37593334328","288.37593334328","523","717","199","7","1034","0","1","893","1","SUP_2","5","5","717","0","10"
"2/7/2023","SKU_001","Chicken Breast","Frozen","Perishable","729","732","732","0","0","0","314.694354156113","314.694354156113","1034","0","732","28","274","0","0","0","0","SUP_3","0","0","0","0","10"
"2/8/2023","SKU_001","Chicken Breast","Frozen","Perishable","753","742","274","468","0","0","356.792753879628","356.792753879628","274","1044","274","13","1031","1","1","1057","1","SUP_1","5","5","1044","0","10"
"2/9/2023","SKU_001","Chicken Breast","Frozen","Perishable","602","708","708","0","1","0.2564849175253931","382.240835347201","284.201826218336","1031","0","708","44","279","0","0","0","0","SUP_2","0","0","0","0","10"
"2/10/2023","SKU_001","Chicken Breast","Frozen","Perishable","220","266","266","0","1","0.1058179839339564","283.795126058752","253.764497968932","279","1231","266","11","1233","0","1","1416","1","SUP_3","5","5","1231","0","10"
"2/11/2023","SKU_001","Chicken Breast","Frozen","Perishable","301","262","262","0","1","0.1705086431428266","367.014208760777","304.435114010839","1233","0","262","21","950","0","0","0","0","SUP_1","0","0","0","0","10"
"2/12/2023","SKU_001","Chicken Breast","Frozen","Perishable","528","621","621","0","0","0","270.003289843221","270.003289843221","950","0","621","42","287","0","0","0","0","SUP_1","0","0","0","0","10"
"2/13/2023","SKU_001","Chicken Breast","Frozen","Perishable","709","662","287","375","0","0","367.981752089475","367.981752089475","287","698","287","7","691","1","1","861","1","SUP_1","6","7","698","1","10"
"2/14/2023","SKU_001","Chicken Breast","Frozen","Perishable","845","716","691","25","0","0","334.687577624657","334.687577624657","691","853","691","19","834","1","1","898","1","SUP_1","5","5","853","0","10"
"2/15/2023","SKU_001","Chicken Breast","Frozen","Perishable","387","348","348","0","1","0.3435620521336025","242.69292040349","159.31284263137","834","0","348","41","445","0","0","0","0","SUP_2","0","0","0","0","10"
"2/16/2023","SKU_001","Chicken Breast","Frozen","Perishable","399","369","369","0","1","0.3092409685593434","413.730388794827","285.788002641481","445","904","369","19","961","0","1","1029","1","SUP_3","6","6","904","0","10"
"2/17/2023","SKU_001","Chicken Breast","Frozen","Perishable","477","574","574","0","1","0.1935676989390301","236.967542817038","191.098280830708","961","0","574","23","364","0","0","0","0","SUP_1","0","0","0","0","10"
"2/18/2023","SKU_001","Chicken Breast","Frozen","Perishable","790","841","364","477","0","0","361.63623911664","361.63623911664","364","856","364","9","847","1","1","966","1","SUP_3","3","4","856","1","10"
"2/19/2023","SKU_001","Chicken Breast","Frozen","Perishable","408","508","508","0","0","0","313.732128398825","313.732128398825","847","0","508","12","327","0","0","0","0","SUP_1","0","0","0","0","10"
"2/20/2023","SKU_001","Chicken Breast","Frozen","Perishable","623","697","327","370","0","0","300.044578574405","300.044578574405","327","910","327","4","906","1","1","916","1","SUP_2","3","3","910","0","10"
"2/21/2023","SKU_001","Chicken Breast","Frozen","Perishable","375","459","459","0","1","0.1632475419973102","404.928666044719","338.825056628669","906","0","459","34","413","0","0","0","0","SUP_1","0","0","0","0","10"
"2/22/2023","SKU_001","Chicken Breast","Frozen","Perishable","500","545","413","132","1","0.1960504578448049","419.166275005874","336.988534877871","413","703","413","16","687","1","1","811","1","SUP_2","5","5","703","0","10"
"2/23/2023","SKU_001","Chicken Breast","Frozen","Perishable","248","284","284","0","0","0","312.739680987996","312.739680987996","687","741","284","22","1122","0","1","840","1","SUP_3","2","2","741","0","10"
"2/24/2023","SKU_001","Chicken Breast","Frozen","Perishable","612","526","526","0","1","0.28142987709709","384.507448584634","276.295564586545","1122","0","526","38","558","0","0","0","0","SUP_2","0","0","0","0","10"
"2/25/2023","SKU_001","Chicken Breast","Frozen","Perishable","310","265","265","0","0","0","393.212777900082","393.212777900082","558","1026","265","6","1313","0","1","1173","1","SUP_1","3","4","1026","1","10"
"2/26/2023","SKU_001","Chicken Breast","Frozen","Perishable","671","591","591","0","0","0","387.665740942228","387.665740942228","1313","0","591","34","688","0","0","0","0","SUP_1","0","0","0","0","10"
"2/27/2023","SKU_001","Chicken Breast","Frozen","Perishable","500","608","608","0","1","0.3499294183215326","392.944475251011","255.441643593765","688","1175","608","34","1221","0","1","1236","1","SUP_3","6","6","1175","0","10"
"2/28/2023","SKU_001","Chicken Breast","Frozen","Perishable","227","267","267","0","0","0","410.810205451744","410.810205451744","1221","0","267","23","931","0","0","0","0","SUP_1","0","0","0","0","10"
"3/1/2023","SKU_001","Chicken Breast","Frozen","Perishable","622","594","594","0","0","0","291.632543606568","291.632543606568","931","0","594","34","303","0","0","0","0","SUP_2","0","0","0","0","10"
"3/2/2023","SKU_001","Chicken Breast","Frozen","Perishable","1076","944","303","641","0","0","330.381367754897","330.381367754897","303","1128","303","13","1115","1","1","1200","1","SUP_3","6","6","1128","0","10"
"3/3/2023","SKU_001","Chicken Breast","Frozen","Perishable","1472","1268","1115","153","1","0.2520219623854712","343.452742419458","256.895108288235","1115","0","1115","39","0","1","0","0","0","SUP_3","0","0","0","0","10"
"3/4/2023","SKU_001","Chicken Breast","Frozen","Perishable","942","937","0","937","0","0","376.730602548229","376.730602548229","0","1214","0","0","1214","1","1","1362","1","SUP_1","6","6","1214","0","10"
"3/5/2023","SKU_001","Chicken Breast","Frozen","Perishable","1118","1122","1122","0","0","0","271.648877659792","271.648877659792","1214","0","1122","59","33","0","0","0","0","SUP_1","0","0","0","0","10"
"3/6/2023","SKU_001","Chicken Breast","Frozen","Perishable","1073","1198","33","1165","0","0","235.172665621733","235.172665621733","33","777","33","0","777","1","1","894","1","SUP_3","5","5","777","0","10"
"3/7/2023","SKU_001","Chicken Breast","Frozen","Perishable","417","363","363","0","1","0.25048384888524","323.047210972842","242.129102196723","777","648","363","14","1048","0","1","804","1","SUP_2","5","5","648","0","10"
"3/8/2023","SKU_001","Chicken Breast","Frozen","Perishable","549","475","475","0","0","0","245.749679659929","245.749679659929","1048","0","475","23","550","0","0","0","0","SUP_2","0","0","0","0","10"
"3/9/2023","SKU_001","Chicken Breast","Frozen","Perishable","722","728","550","178","0","0","357.556943419217","357.556943419217","550","814","550","8","806","1","1","847","1","SUP_1","2","2","814","0","10"
"3/10/2023","SKU_001","Chicken Breast","Frozen","Perishable","766","655","655","0","1","0.2328164384933835","267.223306623481","205.009328092977","806","0","655","31","120","0","0","0","0","SUP_2","0","0","0","0","10"
"3/11/2023","SKU_001","Chicken Breast","Frozen","Perishable","1065","1240","120","1120","1","0.3111101681584072","246.623385717496","169.89634271513","120","1184","120","4","1180","1","1","1307","1","SUP_1","3","3","1184","0","10"
"3/12/2023","SKU_001","Chicken Breast","Frozen","Perishable","317","364","364","0","1","0.122301082178014","332.793018403767","292.092072111699","1180","0","364","37","779","0","0","0","0","SUP_1","0","0","0","0","10"
"3/13/2023","SKU_001","Chicken Breast","Frozen","Perishable","407","435","435","0","0","0","314.793988286111","314.793988286111","779","866","435","28","1182","0","1","945","1","SUP_3","5","5","866","0","10"
"3/14/2023","SKU_001","Chicken Breast","Frozen","Perishable","380","407","407","0","0","0","399.929479429002","399.929479429002","1182","0","407","23","752","0","0","0","0","SUP_3","0","0","0","0","10"
"3/15/2023","SKU_001","Chicken Breast","Frozen","Perishable","940","1051","752","299","0","0","240.356494524081","240.356494524081","752","1263","752","14","1249","1","1","1315","1","SUP_2","4","4","1263","0","10"
"3/16/2023","SKU_001","Chicken Breast","Frozen","Perishable","472","490","490","0","0","0","416.475723381721","416.475723381721","1249","0","490","32","727","0","0","0","0","SUP_3","0","0","0","0","10"
"3/17/2023","SKU_001","Chicken Breast","Frozen","Perishable","185","231","231","0","0","0","415.013432589029","415.013432589029","727","1255","231","28","1723","0","1","1373","1","SUP_1","3","3","1255","0","10"
"3/18/2023","SKU_001","Chicken Breast","Frozen","Perishable","1064","897","897","0","0","0","362.19049576735","362.19049576735","1723","0","897","67","759","0","0","0","0","SUP_3","0","0","0","0","10"
"3/19/2023","SKU_001","Chicken Breast","Frozen","Perishable","371","356","356","0","0","0","277.726110648051","277.726110648051","759","962","356","12","1353","0","1","1058","1","SUP_1","3","3","962","0","10"
"3/20/2023","SKU_001","Chicken Breast","Frozen","Perishable","516","618","618","0","0","0","247.764954688404","247.764954688404","1353","0","618","19","716","0","0","0","0","SUP_3","0","0","0","0","10"
"3/21/2023","SKU_001","Chicken Breast","Frozen","Perishable","777","806","716","90","1","0.3076548519469322","289.773653308599","200.62338290182","716","992","716","34","958","1","1","1133","1","SUP_1","4","6","992","1","10"
"3/22/2023","SKU_001","Chicken Breast","Frozen","Perishable","1308","1151","958","193","1","0.1504068300119361","247.954475325258","210.660428704313","958","0","958","15","0","1","0","0","0","SUP_1","0","0","0","0","10"
"3/23/2023","SKU_001","Chicken Breast","Frozen","Perishable","822","731","0","731","0","0","353.03944413924","353.03944413924","0","792","0","0","792","1","1","841","1","SUP_1","3","4","792","1","10"
"3/24/2023","SKU_001","Chicken Breast","Frozen","Perishable","385","374","374","0","0","0","291.072490363679","291.072490363679","792","1226","374","24","1620","0","1","1415","1","SUP_3","4","4","1226","0","10"
"3/25/2023","SKU_001","Chicken Breast","Frozen","Perishable","770","825","825","0","1","0.2550181889821283","247.854414532677","184.647030607328","1620","0","825","50","745","0","0","0","0","SUP_3","0","0","0","0","10"
"3/26/2023","SKU_001","Chicken Breast","Frozen","Perishable","1044","1219","745","474","1","0.2234953717827156","260.908918633893","202.596982862384","745","888","745","29","859","1","1","917","1","SUP_2","6","6","888","0","10"
"3/27/2023","SKU_001","Chicken Breast","Frozen","Perishable","735","706","706","0","0","0","320.457669492506","320.457669492506","859","0","706","25","128","0","0","0","0","SUP_1","0","0","0","0","10"
"3/28/2023","SKU_001","Chicken Breast","Frozen","Perishable","489","477","128","349","0","0","363.23581494659","363.23581494659","128","1034","128","5","1029","1","1","1053","1","SUP_2","3","5","1034","1","10"
"3/29/2023","SKU_001","Chicken Breast","Frozen","Perishable","594","569","569","0","1","0.3330295706209031","223.622036764168","149.149285879225","1029","0","569","33","427","0","0","0","0","SUP_1","0","0","0","0","10"
"3/30/2023","SKU_001","Chicken Breast","Frozen","Perishable","520","499","427","72","1","0.3335917536922537","304.826134260477","203.138649561294","427","1009","427","20","989","1","1","1206","1","SUP_1","6","8","1009","1","10"
"3/31/2023","SKU_001","Chicken Breast","Frozen","Perishable","236","206","206","0","0","0","323.767611425214","323.767611425214","989","0","206","25","758","0","0","0","0","SUP_1","0","0","0","0","10"
"4/1/2023","SKU_001","Chicken Breast","Frozen","Perishable","818","1021","758","263","0","0","286.699834338229","286.699834338229","758","783","758","23","760","1","1","874","1","SUP_2","3","3","783","0","10"
"4/2/2023","SKU_001","Chicken Breast","Frozen","Perishable","724","739","739","0","0","0","264.920964587996","264.920964587996","760","1438","739","11","1448","0","1","1463","1","SUP_1","5","5","1438","0","10"
"4/3/2023","SKU_001","Chicken Breast","Frozen","Perishable","394","444","444","0","0","0","262.536156868245","262.536156868245","1448","0","444","70","934","0","0","0","0","SUP_1","0","0","0","0","10"
"4/4/2023","SKU_001","Chicken Breast","Frozen","Perishable","592","613","613","0","1","0.2255487525828106","237.069933615729","183.599105813811","934","0","613","31","290","0","0","0","0","SUP_1","0","0","0","0","10"
"4/5/2023","SKU_001","Chicken Breast","Frozen","Perishable","749","798","290","508","0","0","313.646365688276","313.646365688276","290","889","290","7","882","1","1","943","1","SUP_3","3","3","889","0","10"
"4/6/2023","SKU_001","Chicken Breast","Frozen","Perishable","526","519","519","0","0","0","316.217589677517","316.217589677517","882","0","519","35","328","0","0","0","0","SUP_1","0","0","0","0","10"
"4/7/2023","SKU_001","Chicken Breast","Frozen","Perishable","456","432","328","104","0","0","301.746834219619","301.746834219619","328","889","328","5","884","1","1","977","1","SUP_3","6","6","889","0","10"
"4/8/2023","SKU_001","Chicken Breast","Frozen","Perishable","821","820","820","0","0","0","339.009795940084","339.009795940084","884","0","820","28","36","0","0","0","0","SUP_3","0","0","0","0","10"
"4/9/2023","SKU_001","Chicken Breast","Frozen","Perishable","751","690","36","654","1","0.1992958824046137","391.139293621257","313.186842955891","36","1036","36","1","1035","1","1","1268","1","SUP_2","3","3","1036","0","10"
"4/10/2023","SKU_001","Chicken Breast","Frozen","Perishable","520","457","457","0","1","0.2607313909035633","244.555377932542","180.792114091243","1035","0","457","39","539","0","0","0","0","SUP_1","0","0","0","0","10"
"4/11/2023","SKU_001","Chicken Breast","Frozen","Perishable","887","857","539","318","0","0","273.612728164575","273.612728164575","539","1019","539","14","1005","1","1","1025","1","SUP_1","5","5","1019","0","10"
"4/12/2023","SKU_001","Chicken Breast","Frozen","Perishable","449","525","525","0","0","0","393.693595179582","393.693595179582","1005","0","525","46","434","0","0","0","0","SUP_1","0","0","0","0","10"
"4/13/2023","SKU_001","Chicken Breast","Frozen","Perishable","696","645","434","211","0","0","300.510008719396","300.510008719396","434","1104","434","15","1089","1","1","1293","1","SUP_2","3","5","1104","1","10"
"4/14/2023","SKU_001","Chicken Breast","Frozen","Perishable","455","403","403","0","1","0.2245226883777514","325.932335731016","252.753131483449","1089","0","403","13","673","0","0","0","0","SUP_1","0","0","0","0","10"
"4/15/2023","SKU_001","Chicken Breast","Frozen","Perishable","682","810","673","137","0","0","248.00370773209","248.00370773209","673","869","673","13","856","1","1","967","1","SUP_2","5","5","869","0","10"
"4/16/2023","SKU_001","Chicken Breast","Frozen","Perishable","915","946","856","90","0","0","296.627705649899","296.627705649899","856","0","856","10","0","1","0","0","0","SUP_2","0","0","0","0","10"
"4/17/2023","SKU_001","Chicken Breast","Frozen","Perishable","890","764","0","764","0","0","364.306572224381","364.306572224381","0","729","0","0","729","1","1","854","1","SUP_3","6","6","729","0","10"
"4/18/2023","SKU_001","Chicken Breast","Frozen","Perishable","562","651","651","0","1","0.3388090781808697","388.305932062009","256.744357167916","729","815","651","11","882","0","1","1000","1","SUP_2","3","3","815","0","10"
"4/19/2023","SKU_001","Chicken Breast","Frozen","Perishable","457","440","440","0","0","0","311.936302552226","311.936302552226","882","0","440","11","431","0","0","0","0","SUP_3","0","0","0","0","10"
"4/20/2023","SKU_001","Chicken Breast","Frozen","Perishable","644","804","431","373","0","0","240.618749202749","240.618749202749","431","683","431","18","665","1","1","816","1","SUP_2","2","2","683","0","10"
"4/21/2023","SKU_001","Chicken Breast","Frozen","Perishable","1072","984","665","319","1","0.3258409531590062","347.446315957897","234.234077194591","665","1108","665","23","1085","1","1","1370","1","SUP_2","2","3","1108","1","10"
"4/22/2023","SKU_001","Chicken Breast","Frozen","Perishable","466","399","399","0","0","0","256.115069025467","256.115069025467","1085","0","399","50","636","0","0","0","0","SUP_2","0","0","0","0","10"
"4/23/2023","SKU_001","Chicken Breast","Frozen","Perishable","721","617","617","0","1","0.2185535541643659","414.211649033074","323.684220960612","636","1116","617","28","1107","0","1","1201","1","SUP_3","3","3","1116","0","10"
"4/24/2023","SKU_001","Chicken Breast","Frozen","Perishable","569","639","639","0","0","0","244.113377155456","244.113377155456","1107","0","639","41","427","0","0","0","0","SUP_2","0","0","0","0","10"
"4/25/2023","SKU_001","Chicken Breast","Frozen","Perishable","840","749","427","322","1","0.2844639417266312","327.680298076157","234.467068859256","427","1039","427","13","1026","1","1","1292","1","SUP_2","5","5","1039","0","10"
"4/26/2023","SKU_001","Chicken Breast","Frozen","Perishable","332","278","278","0","0","0","220.047504715177","220.047504715177","1026","0","278","26","722","0","0","0","0","SUP_3","0","0","0","0","10"
"4/27/2023","SKU_001","Chicken Breast","Frozen","Perishable","513","565","565","0","0","0","299.657476795127","299.657476795127","722","936","565","16","1077","0","1","1139","1","SUP_1","2","2","936","0","10"
"4/28/2023","SKU_001","Chicken Breast","Frozen","Perishable","377","411","411","0","1","0.2472771336177237","390.56436433838","293.986727831557","1077","0","411","22","644","0","0","0","0","SUP_1","0","0","0","0","10"
"4/29/2023","SKU_001","Chicken Breast","Frozen","Perishable","990","1166","644","522","1","0.1647456629004534","411.283139511885","343.52602605322","644","1032","644","21","1011","1","1","1239","1","SUP_3","4","6","1032","1","10"
"4/30/2023","SKU_001","Chicken Breast","Frozen","Perishable","778","942","942","0","1","0.1576422989512547","300.316047285098","252.973535179121","1011","0","942","43","26","0","0","0","0","SUP_2","0","0","0","0","10"
"5/1/2023","SKU_001","Chicken Breast","Frozen","Perishable","429","527","26","501","1","0.3001924217824687","411.454052596665","287.938664095461","26","1346","26","0","1346","1","1","1488","1","SUP_1","4","4","1346","0","10"
"5/2/2023","SKU_001","Chicken Breast","Frozen","Perishable","623","620","620","0","1","0.3243590370115509","318.237268173725","215.014134327709","1346","0","620","38","688","0","0","0","0","SUP_1","0","0","0","0","10"
"5/3/2023","SKU_001","Chicken Breast","Frozen","Perishable","130","144","144","0","0","0","315.335365666074","315.335365666074","688","792","144","30","1306","0","1","969","1","SUP_1","2","2","792","0","10"
"5/4/2023","SKU_001","Chicken Breast","Frozen","Perishable","245","259","259","0","1","0.2239689337696926","271.950756752065","211.042235724444","1306","0","259","17","1030","0","0","0","0","SUP_1","0","0","0","0","10"
"5/5/2023","SKU_001","Chicken Breast","Frozen","Perishable","1028","1000","1000","0","0","0","352.422402021313","352.422402021313","1030","0","1000","45","0","0","0","0","0","SUP_1","0","0","0","0","10"
"5/6/2023","SKU_001","Chicken Breast","Frozen","Perishable","530","526","0","526","0","0","393.632160810309","393.632160810309","0","1459","0","0","1459","1","1","1480","1","SUP_1","4","4","1459","0","10"
"5/7/2023","SKU_001","Chicken Breast","Frozen","Perishable","729","845","845","0","1","0.1073118207586397","396.174151839786","353.659982268348","1459","0","845","62","552","0","0","0","0","SUP_2","0","0","0","0","10"
"5/8/2023","SKU_001","Chicken Breast","Frozen","Perishable","599","672","552","120","0","0","401.740261853874","401.740261853874","552","1190","552","17","1173","1","1","1388","1","SUP_1","5","5","1190","0","10"
"5/9/2023","SKU_001","Chicken Breast","Frozen","Perishable","247","293","293","0","0","0","295.33907239736","295.33907239736","1173","0","293","50","830","0","0","0","0","SUP_2","0","0","0","0","10"
"5/10/2023","SKU_001","Chicken Breast","Frozen","Perishable","398","361","361","0","1","0.1854680415096715","328.253315735222","267.372816146755","830","0","361","29","440","0","0","0","0","SUP_2","0","0","0","0","10"
"5/11/2023","SKU_001","Chicken Breast","Frozen","Perishable","197","215","215","0","0","0","361.634417729056","361.634417729056","440","816","215","14","1027","0","1","821","1","SUP_2","4","6","816","1","10"
"5/12/2023","SKU_001","Chicken Breast","Frozen","Perishable","510","522","522","0","0","0","349.514728680381","349.514728680381","1027","0","522","26","479","0","0","0","0","SUP_1","0","0","0","0","10"
"5/13/2023","SKU_001","Chicken Breast","Frozen","Perishable","281","254","254","0","0","0","356.659075321301","356.659075321301","479","902","254","10","1117","0","1","1084","1","SUP_1","4","4","902","0","10"
"5/14/2023","SKU_001","Chicken Breast","Frozen","Perishable","182","198","198","0","1","0.1575134207578584","387.989432934494","326.87589013508","1117","0","198","17","902","0","0","0","0","SUP_3","0","0","0","0","10"
"5/15/2023","SKU_001","Chicken Breast","Frozen","Perishable","664","564","564","0","0","0","303.945463385224","303.945463385224","902","0","564","23","315","0","0","0","0","SUP_1","0","0","0","0","10"
"5/16/2023","SKU_001","Chicken Breast","Frozen","Perishable","570","478","315","163","1","0.1574886514727715","301.866801263009","254.326205807698","315","1314","315","5","1309","1","1","1323","1","SUP_2","5","5","1314","0","10"
"5/17/2023","SKU_001","Chicken Breast","Frozen","Perishable","628","621","621","0","1","0.1735419933358694","223.572378495664","184.773182276685","1309","0","621","60","628","0","0","0","0","SUP_2","0","0","0","0","10"
"5/18/2023","SKU_001","Chicken Breast","Frozen","Perishable","539","548","548","0","0","0","220.246367033285","220.246367033285","628","1228","548","21","1287","0","1","1320","1","SUP_2","2","2","1228","0","10"
"5/19/2023","SKU_001","Chicken Breast","Frozen","Perishable","805","872","872","0","0","0","311.04402981636","311.04402981636","1287","0","872","16","399","0","0","0","0","SUP_2","0","0","0","0","10"
"5/20/2023","SKU_001","Chicken Breast","Frozen","Perishable","636","535","399","136","1","0.2892648169028058","364.377525585387","258.975927363433","399","1038","399","19","1019","1","1","1224","1","SUP_3","4","4","1038","0","10"
